event_url,event_prices,event_time,event_venue,event_bookies,event_runners
https://m.oddschecker.com/m/horse-racing/sedgefield/13:45/winner,"3.25,3.25,2.88,10,26,67,81,101,101,126",13:45,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Western Rules,Libby Mae,Waiting Patiently,General Mahler,Ten Trees,Oak Vintage,Killone,Ash Park,Nortonthorpelegend,Bertielicious"
event_url,event_prices,event_time,event_venue,event_bookies,event_runners
https://m.oddschecker.com/m/horse-racing/sedgefield/13:45/winner,"3.25,3.25,2.88,10,26,67,81,101,101,126",13:45,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Western Rules,Libby Mae,Waiting Patiently,General Mahler,Ten Trees,Oak Vintage,Killone,Ash Park,Nortonthorpelegend,Bertielicious"
event_url,event_prices,event_time,event_venue,event_bookies,event_runners
https://m.oddschecker.com/m/horse-racing/sedgefield/15:50/winner,"3.75,4.5,5,6.5,5.5,11",15:50,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Top Wood,Firth Of The Clyde,Mwaleshi,Jac The Legend,Sa Suffit,Noble Legend"
https://m.oddschecker.com/m/horse-racing/sedgefield/15:15/winner,"2.25,7.5,10,12,13,12,15,26,12,17,51",15:15,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Mixboy,Divine Port,Card Game,Perseid,Orchard Road,Shout It Aloud,Fair Loch,Hey Bob,Scimon Templar,Walser,Telex Du Berlais"
https://m.oddschecker.com/m/horse-racing/sedgefield/13:45/winner,"3.25,3.25,2.88,10,26,67,81,101,101,126",13:45,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Western Rules,Libby Mae,Waiting Patiently,General Mahler,Ten Trees,Oak Vintage,Killone,Ash Park,Nortonthorpelegend,Bertielicious"
https://m.oddschecker.com/m/horse-racing/sedgefield/14:15/winner,"2.62,5.5,8.5,8.5,15,11,21,17,13",14:15,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Good Vibration,Carlo Rocks,Falcarragh,Up And Go,Captain Redbeard,Lord Usher,Wake Your Dreams,Roman Numeral,Ben Cee Pee M"
https://m.oddschecker.com/m/horse-racing/sedgefield/16:20/winner,"5,4.5,5,6,7.5,7.5,15,34",16:20,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Kara Tara,Hatton Springs,Flemerina,Beyondtemptation,Louloumills,Ellistrin Belle,Present Trend,Question Of Faith"
https://m.oddschecker.com/m/horse-racing/sedgefield/14:45/winner,"2.75,4.5,5,5.5,8,8",14:45,sedgefield,"BetBright,BetBright,BetBright,BetBright,BetBright,BetBright","Racing Europe,Not A Bother Boy,Cyclop,Askamore Darsi,Lucematic,Total Assets (N/R)"
